Ax	Ay	Az	p	q	r	mx	my	mz	
3.23	2.09	-8.88	0.64	0.29	2.40	-10.18	-12.86	4.95	
3.29	1.84	-8.90	0.72	0.35	2.75	-10.09	-12.97	5.01	
3.33	1.68	-8.91	0.78	0.38	2.98	-10.03	-13.04	5.05	
3.36	1.58	-8.92	0.81	0.41	3.14	-9.99	-13.08	5.08	
3.45	1.19	-8.85	0.87	0.44	0.51	-9.96	-13.11	5.10	
3.51	0.93	-8.80	0.91	0.46	-1.19	-9.95	-13.13	5.11	
3.54	0.77	-8.77	0.93	0.47	-2.30	-9.94	-13.14	5.12	
3.90	0.66	-8.82	0.99	0.38	-3.02	-9.93	-13.15	5.12	
4.14	0.58	-8.86	1.03	0.32	-3.49	-9.92	-13.16	5.12	
4.29	0.54	-8.88	1.05	0.29	-3.79	-9.92	-13.16	5.13	
4.39	0.51	-8.89	1.07	0.26	-3.99	-9.92	-13.16	5.13	
4.51	0.28	-8.89	1.08	0.19	-4.12	-9.92	-13.16	5.13	
4.59	0.14	-8.89	1.08	0.14	-4.20	-9.92	-13.16	5.13	
4.65	0.04	-8.89	1.09	0.11	-4.25	-9.92	-13.16	5.13	
4.74	0.25	-8.86	1.04	0.09	-4.29	-9.92	-13.17	5.13	
4.80	0.38	-8.84	1.02	0.07	-4.31	-9.92	-13.17	5.13	
4.84	0.46	-8.82	1.00	0.06	-4.33	-9.92	-13.17	5.13	
4.87	0.52	-8.81	0.99	0.06	-4.34	-9.92	-13.17	5.13	
4.62	-0.38	-8.95	1.00	0.05	-4.34	-11.28	-7.15	3.62	
4.45	-0.96	-9.05	1.00	0.04	-4.35	-12.17	-3.23	2.64	
4.34	-1.34	-9.10	1.00	0.04	-4.35	-12.75	-0.69	2.00	
4.27	-1.59	-9.14	1.01	0.03	-4.35	-13.13	0.96	1.58	
4.24	-1.80	-9.10	0.89	0.05	-4.35	-13.37	2.04	1.31	
4.22	-1.93	-9.07	0.81	0.07	-4.35	-13.53	2.74	1.14	
4.21	-2.02	-9.05	0.76	0.07	-4.35	-13.63	3.19	1.02	
4.05	-2.09	-8.99	0.62	0.05	-4.35	-13.70	3.48	0.95	
3.95	-2.14	-8.96	0.53	0.03	-4.35	-13.75	3.68	0.90	
3.89	-2.17	-8.94	0.47	0.02	-4.35	-13.77	3.80	0.87	
3.85	-2.19	-8.93	0.43	0.01	-4.35	-13.79	3.88	0.85	
3.74	-2.32	-8.89	0.27	0.03	-1.33	-13.80	3.93	0.84	
3.67	-2.40	-8.87	0.17	0.04	0.64	-13.81	3.97	0.83	
3.62	-2.45	-8.86	0.10	0.05	1.92	-13.82	3.99	0.82	
3.59	-2.48	-8.85	0.06	0.06	2.75	-13.82	4.01	0.82	
3.49	-2.52	-8.84	-0.02	0.05	3.17	-13.82	4.01	0.81	
3.43	-2.55	-8.83	-0.08	0.04	3.45	-13.82	4.02	0.81	
3.38	-2.56	-8.83	-0.11	0.04	3.62	-13.82	4.02	0.81	
3.27	-2.64	-8.84	-0.14	0.03	3.56	-13.83	4.03	0.81	
3.19	-2.69	-8.85	-0.16	0.02	3.51	-13.83	4.03	0.81	
3.14	-2.72	-8.85	-0.17	0.02	3.49	-13.83	4.03	0.81	
3.11	-2.74	-8.85	-0.18	0.02	3.47	-13.83	4.03	0.81	
3.05	-2.82	-8.90	-0.15	0.02	3.30	-10.03	7.97	0.27	
3.01	-2.88	-8.92	-0.13	0.02	3.19	-7.56	10.53	-0.08	
2.98	-2.91	-8.94	-0.12	0.02	3.13	-5.96	12.20	-0.31	
2.88	-2.94	-8.96	-0.11	0.02	2.98	-4.92	13.28	-0.46	
2.80	-2.95	-8.98	-0.11	0.02	2.89	-4.24	13.98	-0.55	
2.76	-2.96	-8.99	-0.11	0.01	2.83	-3.80	14.44	-0.62	
2.73	-2.96	-8.99	-0.11	0.01	2.79	-3.51	14.74	-0.66	
2.63	-3.06	-8.94	-0.13	0.00	2.61	-3.33	14.93	-0.68	
2.56	-3.12	-8.90	-0.15	-0.00	2.49	-3.21	15.05	-0.70	
2.52	-3.15	-8.88	-0.16	-0.01	2.41	-3.13	15.14	-0.71	
2.49	-3.18	-8.86	-0.16	-0.01	2.36	-3.08	15.19	-0.72	
2.42	-3.16	-8.85	-0.19	-0.01	2.25	-3.04	15.22	-0.72	
2.37	-3.15	-8.84	-0.21	-0.00	2.18	-3.02	15.25	-0.73	
2.34	-3.14	-8.84	-0.22	-0.00	2.13	-3.01	15.26	-0.73	
2.43	-3.09	-8.85	-0.23	0.02	2.03	-3.00	15.27	-0.73	
2.48	-3.06	-8.87	-0.23	0.03	1.96	-2.99	15.28	-0.73	
2.52	-3.04	-8.87	-0.23	0.04	1.92	-2.99	15.28	-0.73	
2.55	-3.03	-8.88	-0.24	0.04	1.89	-2.99	15.28	-0.73	
2.38	-3.21	-8.90	-0.20	0.01	1.85	-2.99	15.28	-0.73	
2.27	-3.33	-8.92	-0.18	-0.01	1.82	-2.98	15.28	-0.73	
2.20	-3.41	-8.93	-0.16	-0.02	1.80	-2.98	15.29	-0.73	
2.15	-3.46	-8.93	-0.15	-0.03	1.79	-2.98	15.29	-0.73	
2.14	-3.18	-8.92	-0.11	-0.01	1.73	-0.93	16.22	-0.62	
2.13	-3.01	-8.91	-0.08	0.01	1.69	0.41	16.82	-0.55	
2.12	-2.89	-8.91	-0.07	0.01	1.67	1.27	17.21	-0.51	
2.01	-3.03	-8.94	0.03	0.01	1.37	1.84	17.47	-0.48	
1.93	-3.12	-8.96	0.10	0.01	1.18	2.20	17.63	-0.46	
1.88	-3.18	-8.97	0.14	0.01	1.05	2.44	17.74	-0.45	
1.85	-3.22	-8.98	0.16	0.01	0.97	2.60	17.81	-0.44	
1.77	-3.34	-8.98	0.19	-0.00	0.87	2.70	17.86	-0.43	
1.71	-3.41	-8.98	0.20	-0.01	0.81	2.76	17.89	-0.43	
1.67	-3.46	-8.98	0.21	-0.01	0.77	2.81	17.91	-0.43	
1.66	-3.49	-8.97	0.22	-0.01	0.73	2.83	17.92	-0.43	
1.66	-3.51	-8.95	0.23	-0.01	0.71	2.85	17.93	-0.43	
1.65	-3.52	-8.95	0.23	-0.01	0.69	2.86	17.93	-0.42	
1.65	-3.52	-8.94	0.23	-0.01	0.68	2.87	17.94	-0.42	
1.68	-3.57	-8.90	0.23	-0.02	0.65	2.87	17.94	-0.42	
1.70	-3.59	-8.88	0.22	-0.02	0.63	2.88	17.94	-0.42	
1.71	-3.61	-8.86	0.22	-0.02	0.61	2.88	17.94	-0.42	
1.72	-3.62	-8.85	0.22	-0.02	0.61	2.88	17.94	-0.42	
1.74	-3.60	-8.81	0.21	-0.03	0.60	2.88	17.94	-0.42	
1.75	-3.59	-8.79	0.20	-0.04	0.59	2.88	17.94	-0.42	
1.76	-3.58	-8.77	0.20	-0.04	0.59	2.88	17.94	-0.42	
1.74	-3.59	-8.78	0.20	-0.05	0.58	2.88	17.94	-0.42	
1.73	-3.59	-8.79	0.20	-0.05	0.58	2.88	17.94	-0.42	
1.73	-3.59	-8.79	0.21	-0.05	0.58	2.88	17.94	-0.42	
1.72	-3.59	-8.80	0.21	-0.05	0.57	2.88	17.94	-0.42	
1.68	-3.69	-8.83	0.21	-0.05	0.57	3.63	18.92	0.44	
1.66	-3.75	-8.86	0.21	-0.05	0.56	4.12	19.55	1.00	
1.64	-3.79	-8.87	0.21	-0.05	0.56	4.43	19.96	1.37	
1.63	-3.81	-8.88	0.22	-0.05	0.56	4.64	20.23	1.60	
1.47	-2.49	-8.64	0.09	-0.12	1.05	4.77	20.40	1.76	
1.37	-1.63	-8.48	0.01	-0.16	1.37	4.86	20.51	1.86	
1.30	-1.07	-8.38	-0.05	-0.18	1.58	4.91	20.59	1.92	
1.40	-2.10	-8.61	-0.01	-0.11	1.37	4.95	20.64	1.97	
1.47	-2.77	-8.75	0.02	-0.07	1.24	4.97	20.67	1.99	
1.52	-3.21	-8.85	0.04	-0.04	1.15	4.99	20.69	2.01	
1.54	-3.49	-8.91	0.05	-0.02	1.09	5.00	20.70	2.02	
1.49	-3.61	-8.91	0.04	0.02	0.84	5.01	20.71	2.03	
1.46	-3.70	-8.91	0.03	0.04	0.68	5.01	20.71	2.04	
1.44	-3.75	-8.91	0.03	0.05	0.57	5.01	20.72	2.04	
1.34	-3.74	-8.91	0.03	0.04	0.46	5.01	20.72	2.04	
1.28	-3.73	-8.90	0.03	0.03	0.39	5.02	20.72	2.04	
1.24	-3.73	-8.90	0.03	0.02	0.34	5.02	20.72	2.04	
1.22	-3.73	-8.90	0.03	0.02	0.31	5.02	20.72	2.04	
1.21	-3.78	-8.90	0.03	0.00	0.24	5.02	20.72	2.04	
1.20	-3.82	-8.91	0.03	-0.01	0.19	5.02	20.72	2.04	
1.20	-3.85	-8.91	0.03	-0.01	0.16	5.02	20.72	2.04	
1.19	-3.86	-8.91	0.03	-0.02	0.14	5.02	20.72	2.04	
1.25	-3.88	-8.88	0.02	-0.01	0.11	5.89	21.08	1.83	
1.28	-3.90	-8.86	0.02	-0.00	0.09	6.45	21.31	1.69	
1.30	-3.90	-8.85	0.02	-0.00	0.08	6.82	21.46	1.60	
1.30	-3.89	-8.82	0.01	0.00	0.07	7.06	21.56	1.54	
1.29	-3.88	-8.81	-0.00	0.00	0.06	7.22	21.62	1.50	
1.29	-3.87	-8.80	-0.01	0.00	0.05	7.32	21.66	1.47	
1.29	-3.87	-8.79	-0.01	0.00	0.05	7.38	21.69	1.46	
1.27	-3.85	-8.81	-0.03	0.01	0.04	7.43	21.70	1.45	
1.26	-3.83	-8.82	-0.03	0.02	0.03	7.45	21.72	1.44	
1.26	-3.83	-8.83	-0.04	0.02	0.03	7.47	21.72	1.44	
1.25	-3.82	-8.83	-0.05	0.02	0.02	7.48	21.73	1.43	
1.28	-3.82	-8.81	-0.05	0.03	0.01	7.49	21.73	1.43	
1.30	-3.81	-8.79	-0.05	0.03	-0.00	7.50	21.73	1.43	
1.32	-3.81	-8.78	-0.05	0.03	-0.01	7.50	21.73	1.43	
1.32	-3.82	-8.82	-0.03	0.04	-0.01	7.50	21.73	1.43	
1.31	-3.83	-8.84	-0.02	0.04	-0.01	7.50	21.74	1.43	
1.31	-3.83	-8.86	-0.01	0.04	-0.01	7.50	21.74	1.43	
1.31	-3.84	-8.87	-0.01	0.04	-0.01	7.51	21.74	1.43	
1.27	-3.85	-8.89	-0.00	0.03	-0.01	7.51	21.74	1.43	
1.24	-3.86	-8.91	-0.00	0.03	-0.02	7.51	21.74	1.43	
1.22	-3.86	-8.92	0.00	0.03	-0.02	7.51	21.74	1.43	
1.21	-3.86	-8.93	0.00	0.02	-0.02	7.51	21.74	1.43	
1.17	-3.87	-8.97	-0.01	0.02	-0.04	7.20	21.51	0.46	
1.14	-3.87	-8.99	-0.02	0.02	-0.06	6.99	21.37	-0.18	
1.12	-3.87	-9.00	-0.03	0.02	-0.06	6.86	21.28	-0.59	
1.15	-3.81	-8.98	-0.06	0.05	-0.12	6.78	21.22	-0.85	
1.16	-3.76	-8.96	-0.08	0.06	-0.16	6.72	21.18	-1.03	
1.17	-3.73	-8.95	-0.09	0.07	-0.19	6.68	21.15	-1.14	
1.18	-3.72	-8.95	-0.10	0.08	-0.21	6.66	21.14	-1.21	
1.20	-3.58	-8.94	-0.16	0.11	-0.37	6.65	21.12	-1.26	
1.21	-3.50	-8.93	-0.20	0.14	-0.48	6.64	21.12	-1.29	
1.21	-3.44	-8.93	-0.22	0.15	-0.55	6.63	21.11	-1.31	
1.50	-2.96	-8.80	-0.35	0.23	-0.95	6.63	21.11	-1.32	
1.69	-2.64	-8.72	-0.43	0.27	-1.21	6.62	21.11	-1.33	
1.81	-2.44	-8.66	-0.48	0.31	-1.38	6.62	21.11	-1.34	
1.89	-2.30	-8.63	-0.51	0.33	-1.49	6.62	21.11	-1.34	
1.88	-2.27	-8.58	-0.51	0.37	-2.35	6.62	21.11	-1.34	
1.87	-2.25	-8.55	-0.50	0.40	-2.91	6.62	21.10	-1.35	
1.87	-2.24	-8.54	-0.50	0.41	-3.27	6.62	21.10	-1.35	
1.87	-2.23	-8.52	-0.49	0.43	-3.51	6.62	21.10	-1.35	
2.15	-2.58	-8.75	-0.47	0.43	-3.80	6.62	21.10	-1.35	
2.33	-2.80	-8.90	-0.46	0.43	-4.00	6.62	21.10	-1.35	
2.45	-2.95	-9.00	-0.45	0.43	-4.12	6.62	21.10	-1.35	
2.67	-2.80	-8.99	-0.41	0.33	-4.20	6.62	21.10	-1.35	
2.81	-2.70	-8.98	-0.39	0.26	-4.26	6.62	21.10	-1.35	
2.90	-2.64	-8.98	-0.37	0.22	-4.29	6.62	21.10	-1.35	
2.96	-2.60	-8.98	-0.36	0.19	-4.31	6.62	21.10	-1.35	
3.60	-2.66	-9.01	-0.20	0.15	-4.33	2.32	19.02	0.49	
4.01	-2.70	-9.03	-0.09	0.13	-4.34	-0.47	17.67	1.68	
4.28	-2.72	-9.05	-0.03	0.11	-4.34	-2.28	16.79	2.46	
4.26	-2.32	-8.82	0.21	0.03	-4.35	-3.46	16.22	2.96	
4.26	-2.05	-8.67	0.36	-0.02	-4.35	-4.23	15.85	3.29	
4.25	-1.88	-8.58	0.46	-0.06	-4.35	-4.72	15.61	3.50	
4.25	-1.76	-8.52	0.52	-0.08	-4.35	-5.05	15.45	3.64	
4.47	-2.03	-8.60	0.74	-0.10	-4.35	-5.26	15.35	3.73	
4.61	-2.20	-8.66	0.88	-0.11	-4.35	-5.39	15.28	3.79	
4.70	-2.32	-8.69	0.97	-0.11	-4.35	-5.48	15.24	3.82	
4.76	-2.39	-8.71	1.03	-0.12	-4.35	-5.54	15.21	3.85	
4.69	-1.94	-8.71	0.70	-0.04	-4.35	-5.58	15.19	3.87	
4.64	-1.64	-8.71	0.49	0.02	-4.35	-5.60	15.18	3.88	
4.61	-1.45	-8.71	0.35	0.05	-4.35	-5.62	15.17	3.88	
4.41	-1.56	-8.82	0.09	0.01	-4.35	-5.63	15.17	3.89	
4.27	-1.63	-8.90	-0.07	-0.01	-4.35	-5.64	15.17	3.89	
4.19	-1.68	-8.94	-0.18	-0.03	-4.35	-5.64	15.16	3.89	
4.13	-1.71	-8.98	-0.25	-0.04	-4.35	-5.64	15.16	3.89	
4.22	-1.22	-9.00	-0.45	-0.04	-4.09	-5.65	15.16	3.89	
4.28	-0.89	-9.01	-0.57	-0.04	-3.92	-5.65	15.16	3.89	
4.32	-0.68	-9.02	-0.66	-0.04	-3.81	-5.65	15.16	3.89	
4.26	-0.24	-8.91	-0.68	-0.06	-3.48	-8.63	8.96	3.03	
4.22	0.04	-8.83	-0.69	-0.07	-3.26	-10.58	4.94	2.47	
4.20	0.23	-8.79	-0.70	-0.08	-3.12	-11.84	2.32	2.11	
4.18	0.35	-8.75	-0.70	-0.09	-3.03	-12.66	0.62	1.87	
4.22	0.38	-8.79	-0.63	-0.06	-2.98	-13.19	-0.49	1.71	
4.25	0.39	-8.81	-0.58	-0.05	-2.94	-13.54	-1.21	1.61	
4.27	0.40	-8.83	-0.55	-0.04	-2.92	-13.76	-1.68	1.55	
4.28	0.41	-8.84	-0.52	-0.03	-2.91	-13.91	-1.98	1.51	
4.28	0.50	-8.89	-0.47	-0.03	-2.85	-14.01	-2.18	1.48	
4.28	0.56	-8.93	-0.44	-0.02	-2.81	-14.07	-2.31	1.46	
4.28	0.60	-8.95	-0.41	-0.02	-2.79	-14.11	-2.39	1.45	
4.17	0.66	-8.94	-0.41	-0.04	-2.61	-14.13	-2.44	1.44	
4.09	0.70	-8.93	-0.41	-0.05	-2.49	-14.15	-2.48	1.44	
4.05	0.72	-8.92	-0.41	-0.06	-2.42	-14.16	-2.50	1.43	
4.02	0.74	-8.92	-0.41	-0.06	-2.37	-14.17	-2.52	1.43	
4.03	0.93	-8.94	-0.41	-0.08	-2.07	-14.17	-2.53	1.43	
4.04	1.05	-8.95	-0.41	-0.09	-1.88	-14.18	-2.53	1.43	
4.05	1.13	-8.96	-0.41	-0.09	-1.75	-14.18	-2.54	1.43	
4.14	1.29	-8.93	-0.39	-0.09	-1.62	-14.18	-2.54	1.43	
4.20	1.39	-8.91	-0.38	-0.09	-1.54	-14.18	-2.54	1.43	
4.24	1.45	-8.90	-0.38	-0.09	-1.48	-14.18	-2.54	1.43	
4.26	1.49	-8.89	-0.37	-0.09	-1.44	-14.18	-2.54	1.43	
4.21	1.54	-8.92	-0.39	-0.08	-1.64	-13.81	-4.58	1.64	
4.17	1.56	-8.93	-0.40	-0.07	-1.77	-13.57	-5.90	1.78	
4.15	1.58	-8.94	-0.41	-0.07	-1.85	-13.41	-6.76	1.88	
4.13	1.59	-8.94	-0.41	-0.07	-1.91	-13.31	-7.32	1.93	
3.97	1.73	-8.94	-0.45	-0.10	-2.06	-13.24	-7.69	1.97	
3.86	1.83	-8.94	-0.47	-0.11	-2.16	-13.20	-7.92	2.00	
3.79	1.89	-8.94	-0.48	-0.12	-2.23	-13.17	-8.08	2.01	
3.77	2.07	-8.92	-0.45	-0.14	-2.01	-13.15	-8.18	2.02	
3.76	2.19	-8.91	-0.43	-0.14	-1.87	-13.14	-8.24	2.03	
3.75	2.26	-8.90	-0.42	-0.15	-1.78	-13.13	-8.28	2.04	
3.75	2.31	-8.89	-0.41	-0.15	-1.72	-13.12	-8.31	2.04	
3.63	2.27	-8.88	-0.40	-0.15	-1.69	-13.12	-8.33	2.04	
3.55	2.25	-8.88	-0.39	-0.15	-1.68	-13.12	-8.34	2.04	
3.50	2.24	-8.87	-0.38	-0.15	-1.67	-13.12	-8.35	2.04	
3.54	2.25	-8.88	-0.33	-0.14	-1.52	-13.12	-8.35	2.04	
3.57	2.26	-8.89	-0.30	-0.13	-1.42	-13.12	-8.35	2.04	
3.59	2.27	-8.90	-0.28	-0.12	-1.36	-13.12	-8.36	2.04	
3.60	2.27	-8.90	-0.26	-0.12	-1.32	-13.12	-8.36	2.04	
3.51	2.34	-8.90	-0.23	-0.10	-1.14	-13.12	-8.36	2.04	
3.45	2.39	-8.89	-0.21	-0.08	-1.03	-13.12	-8.36	2.04	
3.42	2.42	-8.89	-0.19	-0.07	-0.96	-13.12	-8.36	2.04	
3.39	2.44	-8.89	-0.18	-0.07	-0.91	-13.12	-8.36	2.04	
3.34	2.55	-8.85	-0.14	-0.05	-0.70	-12.00	-10.13	1.40	
3.30	2.61	-8.82	-0.11	-0.04	-0.56	-11.27	-11.28	0.98	
3.27	2.66	-8.80	-0.09	-0.04	-0.47	-10.79	-12.03	0.70	
3.20	2.71	-8.78	-0.01	-0.03	-0.21	-10.49	-12.52	0.52	
3.15	2.75	-8.76	0.04	-0.02	-0.05	-10.29	-12.83	0.41	
3.12	2.78	-8.75	0.07	-0.02	0.06	-10.16	-13.04	0.33	
3.10	2.79	-8.74	0.09	-0.02	0.13	-10.07	-13.17	0.28	
3.18	2.69	-8.75	0.19	0.01	0.39	-10.02	-13.26	0.25	
3.23	2.62	-8.76	0.25	0.03	0.56	-9.98	-13.31	0.23	
3.27	2.58	-8.76	0.30	0.04	0.67	-9.96	-13.35	0.22	
3.38	2.46	-8.77	0.37	0.08	0.85	-9.94	-13.37	0.21	
3.44	2.38	-8.77	0.42	0.11	0.98	-9.93	-13.39	0.20	
3.49	2.33	-8.77	0.45	0.13	1.06	-9.93	-13.40	0.20	
3.52	2.30	-8.77	0.47	0.14	1.11	-9.92	-13.41	0.20	
3.62	2.21	-8.80	0.51	0.19	1.20	-9.92	-13.41	0.20	
3.68	2.16	-8.82	0.54	0.22	1.26	-9.92	-13.41	0.20	
3.73	2.12	-8.83	0.55	0.24	1.30	-9.92	-13.42	0.19	
3.75	2.10	-8.84	0.57	0.26	1.33	-9.92	-13.42	0.19	
3.66	1.99	-8.86	0.60	0.29	1.41	-9.92	-13.42	0.19	
3.61	1.92	-8.87	0.62	0.32	1.47	-9.92	-13.42	0.19	
3.57	1.87	-8.88	0.64	0.33	1.51	-9.92	-13.42	0.19	
3.74	1.71	-8.91	0.70	0.32	1.84	-9.92	-13.42	0.19	
3.85	1.61	-8.92	0.74	0.32	2.05	-9.92	-13.42	0.19	
3.93	1.55	-8.93	0.76	0.31	2.19	-9.92	-13.42	0.19	
3.97	1.50	-8.94	0.78	0.31	2.28	-9.92	-13.42	0.19	
3.85	1.13	-8.89	0.83	0.28	2.56	-11.66	-11.91	1.71	
3.78	0.88	-8.85	0.86	0.27	2.74	-12.79	-10.94	2.69	
3.72	0.72	-8.83	0.88	0.25	2.85	-13.53	-10.30	3.33	
3.69	0.62	-8.82	0.89	0.25	2.93	-14.00	-9.89	3.74	
3.88	0.37	-8.81	0.90	0.26	3.31	-14.32	-9.62	4.01	
4.00	0.20	-8.81	0.90	0.27	3.55	-14.52	-9.44	4.19	
4.08	0.10	-8.81	0.91	0.27	3.71	-14.65	-9.33	4.30	
4.23	0.14	-8.75	0.85	0.26	0.89	-14.73	-9.26	4.37	
4.34	0.16	-8.72	0.82	0.25	-0.95	-14.79	-9.21	4.42	
4.40	0.18	-8.69	0.80	0.24	-2.14	-14.83	-9.18	4.45	
4.45	0.19	-8.68	0.78	0.23	-2.91	-14.85	-9.16	4.47	
4.48	-0.21	-8.74	0.78	0.21	-3.42	-14.86	-9.14	4.49	
4.51	-0.47	-8.79	0.78	0.19	-3.75	-14.87	-9.14	4.50	
4.52	-0.64	-8.81	0.77	0.18	-3.96	-14.88	-9.13	4.50	
4.39	-0.72	-8.92	0.70	0.17	-4.10	-14.89	-9.13	4.51	
4.31	-0.78	-9.00	0.66	0.16	-4.19	-14.89	-9.12	4.51	
4.25	-0.82	-9.04	0.62	0.16	-4.25	-14.89	-9.12	4.51	
4.22	-0.84	-9.08	0.60	0.16	-4.28	-14.89	-9.12	4.51	
3.84	-1.42	-9.06	0.62	0.12	-1.37	-14.89	-9.12	4.51	
3.59	-1.80	-9.05	0.63	0.09	0.52	-14.89	-9.12	4.51	
3.43	-2.05	-9.05	0.64	0.08	1.75	-14.89	-9.12	4.51	
3.33	-2.21	-9.05	0.65	0.06	2.55	-14.89	-9.12	4.51	
3.68	-2.16	-9.01	0.59	0.09	0.13	-14.15	-3.90	2.78	
3.91	-2.12	-8.98	0.55	0.11	-1.44	-13.66	-0.50	1.66	
4.06	-2.10	-8.96	0.52	0.12	-2.46	-13.35	1.70	0.93	
4.07	-2.12	-8.93	0.41	0.10	-3.12	-13.14	3.14	0.46	
4.08	-2.13	-8.91	0.33	0.09	-3.55	-13.01	4.07	0.15	
4.08	-2.14	-8.89	0.28	0.09	-3.83	-12.92	4.68	-0.05	
4.09	-2.15	-8.88	0.25	0.08	-4.02	-12.86	5.07	-0.18	
4.06	-2.24	-8.87	0.13	0.11	-1.15	-12.83	5.33	-0.27	
4.03	-2.30	-8.86	0.05	0.13	0.71	-12.80	5.49	-0.32	
4.02	-2.34	-8.85	-0.00	0.15	1.92	-12.79	5.60	-0.36	
3.87	-2.41	-8.79	-0.10	0.12	2.52	-12.78	5.67	-0.38	
3.78	-2.46	-8.75	-0.16	0.10	2.90	-12.77	5.72	-0.40	
3.71	-2.49	-8.73	-0.20	0.09	3.15	-12.77	5.75	-0.41	
3.67	-2.51	-8.71	-0.22	0.08	3.32	-12.77	5.77	-0.41	
3.54	-2.59	-8.72	-0.22	0.07	3.39	-12.76	5.78	-0.42	
3.46	-2.64	-8.73	-0.22	0.07	3.43	-12.76	5.79	-0.42	
3.40	-2.67	-8.73	-0.22	0.07	3.46	-12.76	5.79	-0.42	
3.37	-2.70	-8.73	-0.22	0.06	3.48	-12.76	5.80	-0.42	
3.27	-2.76	-8.76	-0.18	0.07	3.41	-12.76	5.80	-0.42	
3.20	-2.80	-8.78	-0.16	0.07	3.36	-12.76	5.80	-0.42	
3.16	-2.83	-8.79	-0.14	0.07	3.33	-12.76	5.80	-0.42	
3.03	-2.98	-8.79	-0.13	0.06	3.17	-10.15	9.25	-1.50	
2.94	-3.08	-8.79	-0.11	0.06	3.07	-8.45	11.50	-2.20	
2.88	-3.14	-8.79	-0.11	0.06	3.00	-7.34	12.96	-2.66	
2.84	-3.18	-8.79	-0.10	0.06	2.96	-6.63	13.91	-2.96	
2.81	-3.26	-8.80	-0.12	0.05	2.82	-6.16	14.52	-3.15	
2.78	-3.30	-8.80	-0.13	0.05	2.73	-5.86	14.92	-3.28	
2.77	-3.33	-8.81	-0.13	0.05	2.67	-5.66	15.18	-3.36	
2.76	-3.35	-8.81	-0.14	0.05	2.63	-5.53	15.35	-3.41	
2.68	-3.43	-8.77	-0.17	0.02	2.55	-5.45	15.46	-3.44	
2.63	-3.48	-8.75	-0.18	0.00	2.50	-5.39	15.53	-3.47	
2.59	-3.51	-8.73	-0.20	-0.01	2.47	-5.36	15.58	-3.48	
2.47	-3.49	-8.78	-0.25	-0.01	2.50	-5.34	15.61	-3.49	
2.38	-3.47	-8.81	-0.29	-0.00	2.52	-5.32	15.63	-3.50	
2.33	-3.46	-8.83	-0.31	-0.00	2.53	-5.31	15.64	-3.50	
2.29	-3.45	-8.84	-0.32	0.00	2.54	-5.31	15.65	-3.50	
2.34	-3.42	-8.87	-0.33	0.01	2.57	-5.30	15.66	-3.50	
2.36	-3.41	-8.90	-0.33	0.02	2.58	-5.30	15.66	-3.51	
2.38	-3.39	-8.91	-0.33	0.02	2.60	-5.30	15.66	-3.51	
2.31	-3.23	-8.81	-0.32	0.02	2.61	-5.30	15.66	-3.51	
2.26	-3.12	-8.74	-0.31	0.01	2.62	-5.29	15.66	-3.51	
2.23	-3.05	-8.70	-0.31	0.01	2.63	-5.29	15.67	-3.51	
2.21	-3.01	-8.67	-0.30	0.01	2.64	-5.29	15.67	-3.51	
2.04	-3.11	-8.72	-0.16	0.03	2.31	-1.56	17.26	-2.21	
1.92	-3.18	-8.75	-0.06	0.04	2.09	0.87	18.30	-1.37	
1.85	-3.22	-8.77	-0.00	0.05	1.95	2.44	18.97	-0.82	
1.73	-3.31	-8.84	0.10	0.05	1.70	3.47	19.41	-0.47	
1.65	-3.37	-8.88	0.17	0.05	1.53	4.14	19.69	-0.24	
1.60	-3.40	-8.90	0.22	0.05	1.42	4.57	19.88	-0.09	
1.56	-3.43	-8.92	0.25	0.05	1.35	4.85	20.00	0.01	
1.62	-3.61	-8.96	0.31	0.05	1.26	5.03	20.07	0.08	
1.66	-3.73	-8.98	0.36	0.04	1.21	5.15	20.12	0.12	
1.69	-3.80	-9.00	0.39	0.04	1.17	5.23	20.16	0.14	
1.70	-3.85	-9.01	0.41	0.04	1.15	5.28	20.18	0.16	
1.66	-3.84	-8.94	0.39	0.04	1.10	5.31	20.19	0.17	
1.63	-3.84	-8.89	0.39	0.04	1.07	5.33	20.20	0.18	
1.61	-3.83	-8.86	0.38	0.03	1.05	5.35	20.21	0.18	
1.45	-2.43	-8.60	0.17	-0.07	1.46	5.36	20.21	0.19	
1.35	-1.51	-8.43	0.04	-0.14	1.73	5.36	20.21	0.19	
1.28	-0.92	-8.32	-0.05	-0.18	1.91	5.37	20.22	0.19	
1.23	-0.53	-8.24	-0.11	-0.21	2.02	5.37	20.22	0.19	
1.41	-1.81	-8.51	-0.06	-0.13	1.63	5.37	20.22	0.19	
1.52	-2.65	-8.68	-0.03	-0.08	1.37	5.37	20.22	0.19	
1.59	-3.19	-8.79	-0.01	-0.04	1.20	5.37	20.22	0.19	
1.64	-3.54	-8.86	-0.00	-0.02	1.09	5.37	20.22	0.19	
1.65	-5.18	-9.15	-0.02	-0.04	1.14	5.37	20.22	0.19	
1.66	-6.25	-9.34	-0.03	-0.05	1.16	5.37	20.22	0.19	
1.66	-6.94	-9.46	-0.04	-0.06	1.18	5.37	20.22	0.19	
1.39	-5.63	-9.11	-0.08	-0.05	1.22	6.93	20.44	-0.56	
